agent,turn,iter,seed,response,prob0,prob1,threshold,nr_sim,max_exchanges,init_seed,log_id,nr_agents
wiki_0.09_15,0,0,albatross,parrot,0.0111208154407651,0.011054671822203,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,1,0,parrot,parakeet,0.0095357612229689,0.0095497736490851,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,2,0,parakeet,pheasant,0.0112307911865942,0.0111150969454918,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,3,0,pheasant,deer,0.0105235880536882,0.010812013195512,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,4,0,deer,elk,0.0097531988156472,0.00954111094386,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,5,0,elk,antelope,0.0094668585983566,0.0100145688192217,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,6,0,antelope,bison,0.0108809967687663,0.0104173638286186,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,7,0,bison,black_bear,0.01036707444153,0.0100426064194105,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,8,0,black_bear,grizzly_bear,0.0098917274464637,0.0099179770007044,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,9,0,grizzly_bear,polar_bear,0.0092031698875089,0.0095440364331187,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,10,0,polar_bear,red_panda,0.0102675269624613,0.0101228403220899,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,11,0,red_panda,bengal_tiger,0.0099091807370046,0.0101852525373304,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,12,0,bengal_tiger,elephant,0.0107836103207481,0.0107020479408239,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,13,0,elephant,rhinoceros,0.0094379088030157,0.0098454748151496,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,14,0,rhinoceros,giraffe,0.0100639078337179,0.0097923585163897,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,15,0,giraffe,baboon,0.0098708924992439,0.0101697571014763,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,16,0,baboon,hyena,0.0101629205887657,0.0097731891621381,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,17,0,hyena,polecat,0.0106354789149677,0.0103352616396047,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,18,0,polecat,weasel,0.0108458315494638,0.0108362443177162,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,19,0,weasel,cat,0.0104987500057988,0.0107878653103967,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,20,0,cat,dog,0.0085907930635016,0.0085328495582309,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,21,0,dog,dachshund,0.0093745245329097,0.0095717929553408,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,22,0,dachshund,poodle,0.0087427603142953,0.0088323125943581,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,23,0,poodle,pekingese,0.0093198363839432,0.0093613897853459,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,24,0,pekingese,pig,0.0115163704489361,0.0113451241450514,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,25,0,pig,goat,0.0084236599333702,0.0089528989243242,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,26,0,goat,cow,0.0090868733746108,0.0086550394222426,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,27,0,cow,sheep,0.01003995209573,0.0102778550492313,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,28,0,sheep,reindeer,0.0103210228716514,0.010355963940443,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,29,0,reindeer,walrus,0.0107658046489261,0.0110122942657751,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,30,0,walrus,whale,0.010794995525067,0.0104879845990445,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,31,0,whale,sperm_whale,0.0091923380863085,0.0093734274964602,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,32,0,sperm_whale,fin_whale,0.0087634291197766,0.0081647734428764,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,33,0,fin_whale,blue_whale,0.008238526598289,0.0085769237760879,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,34,0,blue_whale,killer_whale,0.009011120855845,0.0087843512329301,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,35,0,killer_whale,dolphin,0.0093269642632047,0.0101904399139661,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,36,0,dolphin,shark,0.0102028757924569,0.0100918457320948,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,37,0,shark,squid,0.0100293379006559,0.0106110680972573,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,38,0,squid,cuttlefish,0.009344185352473,0.0086457514302585,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,39,0,cuttlefish,shrimp,0.0097579163543098,0.0102983301402468,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,40,0,shrimp,prawn,0.0090165943721401,0.0085338194324285,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,41,0,prawn,lobster,0.0094457577960168,0.0099683415091292,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,42,0,lobster,crab,0.0093926219017403,0.0090324542021355,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,43,0,crab,turtle,0.0100117573244139,0.0105276192780725,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,44,0,turtle,tortoise,0.0095007605369689,0.0094326507440274,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,45,0,tortoise,snake,0.0108914465704359,0.0110218095592368,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,46,0,snake,rattlesnake,0.0094830184836343,0.0094191997609292,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,47,0,rattlesnake,cottonmouth,0.0102005705307203,0.0104427716086829,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,48,0,cottonmouth,copperhead,0.0098275825251249,0.0093756912256883,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,49,0,copperhead,diamondback_rattlesnake,0.0112620187188692,0.0115445603726597,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,50,0,diamondback_rattlesnake,coral_snake,0.0098329601611982,0.0096098613073809,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,51,0,coral_snake,sea_snake,0.0088362694565824,0.0090010101847216,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,52,0,sea_snake,sawfish,0.0101783502486166,0.0102725054493587,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,53,0,sawfish,barbel,0.0103708308139227,0.0106322492827644,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,54,0,barbel,catfish,0.0109770047540579,0.0108364226331766,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,55,0,catfish,eel,0.0101791884626508,0.0104712441859955,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.09_15,56,0,eel,alligator,0.0110562617174638,0.0105320241094708,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
wiki_0.07_62,57,0,alligator,crocodile,0.0098138881851215,0.0099651115451116,0.01179,240,240,albatross,wiki_0.09_15_wiki_0.07_62,2
